"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","type","trialNum","corr","repeatTrial","motorSwitch","pracCounter"
"null","","1565797","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"379","","1566192","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","75","img/motor_6.png","74","motor","6","color","454","0","1","0",""
"225","","1566425","HierDyhur00wdf","w1kr81ai6m","msl000227","motorRepeat","","74","img/motor_6.png","74","motor","6","","454","1","0","0",""
"null","","1566534","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"443","","1566993","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","70","img/motor_4.png","70","motor","4","color","455","1","0","0",""
"null","","1567109","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"532","","1567657","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","65","img/motor_1.png","65","motor","1","color","456","1","0","0",""
"null","","1567773","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"564","","1568345","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","457","1","0","0",""
"null","","1568460","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"540","","1569017","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","68","img/motor_3.png","68","motor","3","color","458","1","0","0",""
"null","","1569126","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"572","","1569705","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","72","img/motor_5.png","72","motor","5","color","459","1","0","0",""
"null","","1569814","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"715","","1570537","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","460","1","0","0",""
"null","","1570652","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"499","","1571169","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","74","img/motor_6.png","74","motor","6","color","461","1","0","0",""
"null","","1571285","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"700","","1571993","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","68","img/motor_3.png","68","motor","3","color","462","1","0","0",""
"null","","1572108","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"461","","1572585","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","65","img/motor_1.png","65","motor","1","color","463","1","0","0",""
"null","","1572694","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"547","","1573256","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","75","img/motor_7.png","75","motor","7","color","464","1","0","0",""
"null","","1573373","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"627","","1574017","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","68","img/motor_3.png","68","motor","3","color","465","1","0","0",""
"null","","1574126","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"627","","1574761","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","74","img/motor_6.png","74","motor","6","color","466","1","0","0",""
"null","","1574876","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"684","","1575576","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","65","img/motor_1.png","65","motor","1","color","467","1","0","0",""
"null","","1575693","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"492","","1576201","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","68","img/motor_2.png","83","motor","2","color","468","0","1","0",""
"223","","1576441","HierDyhur00wdf","w1kr81ai6m","msl000227","motorRepeat","","83","img/motor_2.png","83","motor","2","","468","1","0","0",""
"null","","1576557","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"516","","1577080","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","72","img/motor_5.png","72","motor","5","color","469","1","0","0",""
"null","","1577197","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"420","","1577632","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","75","img/motor_7.png","75","motor","7","color","470","1","0","0",""
"null","","1577750","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"619","","1578377","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","68","img/motor_3.png","68","motor","3","color","471","1","0","0",""
"null","","1578493","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"443","","1578953","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","75","img/motor_7.png","75","motor","7","color","472","1","0","0",""
"null","","1579069","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"443","","1579522","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","68","img/motor_3.png","68","motor","3","color","473","1","0","0",""
"null","","1579637","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"411","","1580057","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","65","img/motor_1.png","65","motor","1","color","474","1","0","0",""
"null","","1580173","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"460","","1580649","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","75","img/motor_7.png","75","motor","7","color","475","1","0","0",""
"null","","1580765","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"419","","1581201","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","74","img/motor_6.png","74","motor","6","color","476","1","0","0",""
"null","","1581317","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"515","","1581842","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","70","img/motor_4.png","70","motor","4","color","477","1","0","0",""
"null","","1581957","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"467","","1582434","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","72","img/motor_5.png","72","motor","5","color","478","1","0","0",""
"null","","1582549","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"449","","1583010","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","479","1","0","0",""
"null","","1583125","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"371","","1583513","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","480","1","0","0",""
"null","","1583630","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"578","","1584218","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","72","img/motor_6.png","74","motor","6","color","481","0","1","0",""
"151","","1584385","HierDyhur00wdf","w1kr81ai6m","msl000227","motorRepeat","","74","img/motor_6.png","74","motor","6","","481","1","0","0",""
"null","","1584501","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"500","","1585017","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","482","1","0","0",""
"null","","1585133","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"363","","1585506","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","483","1","0","0",""
"null","","1585621","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"490","","1586122","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","75","img/motor_7.png","75","motor","7","color","484","1","0","0",""
"null","","1586237","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_7.png","75","motor","","","","","","",""
