id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline
6,6,forced,9,27,learn,6,3,0,0,0.100,0.201,0
6,6,forced,9,28,learn,8,8,1,1,1,1.019,0
6,6,forced,9,29,learn,7,7,1,1,0.900,0.805,0
6,6,forced,9,30,learn,1,1,1,1,0.900,0.911,0
6,6,forced,9,31,learn,3,3,1,1,0.800,0.718,0
6,6,forced,9,32,learn,1,1,1,1,0.600,0.564,0
6,6,forced,9,33,learn,7,7,1,1,0.900,0.924,0
6,6,forced,9,34,learn,8,8,1,1,1.100,1.065,0
6,6,forced,9,35,learn,4,4,1,1,1,1.051,0
6,6,forced,9,36,learn,1,1,0,0,0.600,0.716,0
6,6,forced,9,37,learn,6,2,0,0,0.600,0.727,0
6,6,forced,9,38,learn,8,8,0,0,0.200,0.495,0
6,6,forced,9,39,learn,6,6,0,0,0.600,0.721,0
6,6,forced,9,40,learn,4,4,0,0,1.100,0.950,0
6,6,forced,9,41,learn,3,2,0,0,0.300,0.514,0
6,6,forced,9,42,learn,1,3,0,1,0.100,0.151,0
6,6,forced,9,43,learn,8,8,0,0,1.100,0.990,0
6,6,forced,9,44,learn,2,2,1,1,0.900,0.835,0
6,6,forced,9,45,learn,7,7,1,1,0.800,0.887,0
6,6,forced,9,46,learn,2,2,1,1,1,1.029,0
6,6,forced,9,47,learn,3,3,1,1,0.900,0.944,0
6,6,forced,9,48,learn,2,2,0,0,0.600,0.736,0
6,6,forced,9,49,learn,6,6,0,0,0.700,0.816,0
6,6,forced,9,50,learn,4,8,0,1,1.200,1.272,0
6,6,forced,9,51,learn,2,2,0,0,0.500,0.762,0
6,6,forced,9,52,learn,5,6,0,0,0.400,0.629,0
6,6,forced,9,53,learn,4,4,1,1,1,1.024,0
6,6,forced,9,54,learn,5,2,0,0,0.500,0.786,0
6,6,forced,9,55,learn,6,2,0,0,0.300,0.761,0
6,6,forced,9,56,learn,8,8,1,1,0.700,0.775,0
6,6,forced,9,57,learn,3,2,0,0,0.100,0.465,0
6,6,forced,9,58,learn,6,6,1,1,1.100,1.170,0
6,6,forced,9,59,learn,4,4,0,0,0.300,0.971,0
6,6,forced,9,60,learn,7,7,0,0,0.400,0.680,0
6,6,forced,9,61,learn,8,8,1,1,0.900,0.996,0
6,6,forced,9,62,learn,8,8,0,0,0.500,0.633,0
6,6,forced,9,63,learn,2,2,1,1,1.100,1.152,0
6,6,forced,9,64,learn,8,4,0,0,0.300,0.506,0
6,6,forced,9,65,learn,7,7,1,1,1,1.040,0
6,6,forced,9,66,learn,7,7,1,1,1.200,1.199,0
6,6,forced,9,67,learn,1,1,0,0,0.500,0.653,0
6,6,forced,9,68,learn,5,6,0,1,1,1.054,0
6,6,forced,9,69,learn,7,5,0,1,0.200,0.284,0
6,6,forced,9,70,learn,4,8,0,0,0.400,0.631,0
6,6,forced,9,71,learn,4,4,0,0,0.800,0.915,0
6,6,forced,9,72,learn,1,1,0,0,0.200,0.429,0
6,6,forced,9,73,learn,4,3,0,1,0.400,0.482,0
6,6,forced,9,74,learn,5,6,0,1,0.700,0.693,0
6,6,forced,9,75,learn,7,7,1,1,0.900,0.810,0
6,6,forced,9,76,learn,3,4,0,1,0.700,0.791,0
6,6,forced,9,77,learn,1,1,1,1,0.900,0.871,0
6,6,forced,9,78,learn,7,7,1,1,0.800,0.894,0
6,6,forced,9,79,learn,7,7,0,0,0.200,0.368,0
6,6,forced,9,80,learn,4,8,0,1,0.500,0.554,0
6,6,forced,9,81,learn,2,4,0,0,1,1.118,0
6,6,forced,9,82,learn,5,5,1,1,1.100,1.196,0
6,6,forced,9,83,learn,5,5,0,0,0.700,0.842,0
6,6,forced,9,84,learn,1,1,0,0,0.400,0.564,0
6,6,forced,9,85,learn,6,6,0,0,0.700,0.837,0
6,6,forced,9,86,learn,1,1,0,0,0.800,0.692,0
6,6,forced,9,87,learn,3,3,1,1,0.600,0.519,0
6,6,forced,9,88,learn,3,3,1,1,1.100,1.040,0
6,6,forced,9,89,learn,4,3,0,0,0.300,0.443,0
6,6,forced,9,90,learn,1,1,1,1,0.900,0.913,0
6,6,forced,9,91,learn,2,2,1,1,1.100,1.048,0
6,6,forced,9,92,learn,7,7,1,1,0.900,0.870,0
6,6,forced,9,93,learn,6,6,1,1,0.800,0.707,0
6,6,forced,9,94,learn,1,1,0,0,0.300,0.500,0
6,6,forced,9,95,learn,8,8,1,1,0.800,0.861,0
6,6,forced,9,96,learn,5,5,1,1,1.100,1.104,0
6,6,forced,10,1,learn,8,8,0,0,0.700,0.561,0
6,6,forced,10,2,learn,6,7,0,0,0.200,0.413,0
6,6,forced,10,3,learn,1,5,0,1,0.400,0.402,0
6,6,forced,10,4,learn,1,1,0,0,0.700,0.504,0
6,6,forced,10,5,learn,8,8,1,1,0.500,0.464,0
6,6,forced,10,6,learn,8,8,1,1,0.400,0.380,0
6,6,forced,10,7,learn,1,1,1,1,0.700,0.656,0
6,6,forced,10,8,learn,1,1,0,0,0.100,0.344,0
6,6,forced,10,9,learn,3,3,1,1,1.100,1.110,0
6,6,forced,10,10,learn,3,3,1,1,0.600,0.656,0
6,6,forced,10,11,learn,8,8,1,1,0.400,0.491,0
6,6,forced,10,12,learn,8,8,1,1,0.900,0.927,0
6,6,forced,10,13,learn,1,1,1,1,0.800,0.833,0
6,6,forced,10,14,learn,6,2,0,1,1.100,1.135,0
6,6,forced,10,15,learn,2,2,0,0,0.500,0.673,0
6,6,forced,10,16,learn,8,8,1,1,1.200,1.178,0
6,6,forced,10,17,learn,1,1,0,0,0.400,0.591,0
6,6,forced,10,18,learn,2,3,0,0,0.600,0.764,0
6,6,forced,10,19,learn,7,7,0,0,0.400,0.607,0
6,6,forced,10,20,learn,8,8,1,1,0.700,0.735,0
6,6,forced,10,21,learn,8,8,1,1,1,1.019,0
6,6,forced,10,22,learn,6,5,0,0,0.300,0.614,0
6,6,forced,10,23,learn,5,5,1,1,1,1.023,0
6,6,forced,10,24,learn,6,6,1,1,1,0.990,0
6,6,forced,10,25,learn,7,7,1,1,0.900,0.979,0
6,6,forced,10,26,learn,3,2,0,0,0.600,0.853,0
6,6,forced,10,27,learn,8,8,0,0,0.500,0.623,0
6,6,forced,10,28,learn,3,3,1,1,0.800,0.843,0
6,6,forced,10,29,learn,2,3,0,0,0.100,0.238,0
