rt,time_elapsed,subject,subID,group,day,trialType,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy,responses
551,666831,HierDy3zhkyz9e,sub03,3,1,motor,70,img/motor_4.png,70,motor,4,180,1,0,0,,,
null,666942,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_4.png,70,motor,,,,,,,,
611,667563,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,181,1,0,0,,,
null,667674,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
678,668362,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,182,1,0,0,,,
null,668474,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
639,669124,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,183,1,0,0,,,
null,669235,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
718,669964,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_7.png,75,motor,7,184,1,0,0,,,
null,670075,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_7.png,75,motor,,,,,,,,
481,670566,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,185,1,0,0,,,
null,670675,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
391,671078,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,186,1,0,0,,,
null,671187,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
566,671764,HierDy3zhkyz9e,sub03,3,1,motor,83,img/motor_2.png,83,motor,2,187,1,0,0,,,
null,671874,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_2.png,83,motor,,,,,,,,
441,672326,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,188,1,0,0,,,
null,672435,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
643,673087,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_7.png,75,motor,7,189,1,0,0,,,
null,673199,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_7.png,75,motor,,,,,,,,
487,673695,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,190,1,0,0,,,
null,673807,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
557,674373,HierDy3zhkyz9e,sub03,3,1,motor,70,img/motor_4.png,70,motor,4,191,1,0,0,,,
