"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"null","157413","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"624","158046","HierDywwo7grap","02","02","8","motor","74","img/motor_6.png","74","motor","6","106","1","0","0","",""
"null","158156","HierDywwo7grap","02","02","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"473","158639","HierDywwo7grap","02","02","8","motor","65","img/motor_1.png","65","motor","1","107","1","0","0","",""
"null","158748","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"821","159576","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","108","1","0","0","",""
"null","159688","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"409","160107","HierDywwo7grap","02","02","8","motor","65","img/motor_1.png","65","motor","1","109","1","0","0","",""
"null","160217","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"508","160735","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","110","1","0","0","",""
"null","160846","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"489","161344","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","111","1","0","0","",""
"null","161455","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"786","162251","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","112","1","0","0","",""
"null","162360","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"441","162812","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","113","1","0","0","",""
"null","162921","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"662","163592","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","114","1","0","0","",""
"null","163702","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"538","164248","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","115","1","0","0","",""
"null","164359","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"315","164682","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","116","1","0","0","",""
"null","164794","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"616","165420","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","117","1","0","0","",""
"null","165531","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"531","166070","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","118","1","0","0","",""
"null","166181","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"508","166699","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","119","1","0","0","",""
"null","166809","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"492","167313","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","120","1","0","0","",""
"null","167424","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"714","168147","HierDywwo7grap","02","02","8","motor","74","img/motor_6.png","74","motor","6","121","1","0","0","",""
"null","168258","HierDywwo7grap","02","02","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"550","168819","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","122","1","0","0","",""
"null","168929","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"708","169647","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","123","1","0","0","",""
"null","169759","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"532","170301","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","124","1","0","0","",""
"null","170411","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"594","171015","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","125","1","0","0","",""
"null","171122","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"669","171801","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","126","1","0","0","",""
"null","171910","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"579","172498","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","127","1","0","0","",""
"null","172610","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"372","172990","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","128","1","0","0","",""
"null","173101","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"619","173730","HierDywwo7grap","02","02","8","motor","74","img/motor_6.png","74","motor","6","129","1","0","0","",""
"null","173841","HierDywwo7grap","02","02","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
