"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2","includeLearn","timing_chill"
"26826","8",2,"forced",10,57,"learn",8,8,1,1,0.9,0.858,0,71,"R",2,0,0,0,0,0,0,"R",2,1,1,8,57,-0.042,"8","7","rep/rep/rep","0",8,0,"1/1/1",1,"1/1/1",1,1
"26827","8",2,"forced",10,58,"learn",3,3,1,1,1,0.932,0,72,"L",2,1,0,1,1,0,1,"L",2,1,1,3,58,-0.0679999999999999,"9","8","sw/rep/sw","6",8,2,"1/1/1",1,"1/1/1",1,1
"26828","8",2,"forced",10,59,"learn",7,3,0,0,0.4,0.295,0,61,"R",2,1,0,1,0,0,0,"L",2,0,1,7,59,-0.105,"2","3","rep/rep/rep","0",3,3,"0/1/0",1,"0/1/1",1,1
"26829","8",2,"forced",10,60,"learn",3,3,1,1,0.9,0.935,0,73,"L",2,1,0,1,0,0,0,"L",2,1,1,3,60,0.035,"9","7","rep/rep/rep","0",7,3,"1/1/1",1,"1/1/1",1,1
"26830","8",2,"forced",10,61,"learn",3,3,1,1,1.1,1.038,0,74,"L",2,0,0,0,0,0,0,"L",2,1,1,3,61,-0.0620000000000001,"10","9","rep/rep/rep","0",3,0,"1/1/1",1,"1/1/1",1,1
"26831","8",2,"forced",10,62,"learn",6,7,0,1,0.2,0.112,0,63,"R",1,1,1,1,1,0,1,"R",2,1,0,6,62,-0.088,"1","1","sw/rep/sw","6",3,1,"1/0/0",0,"1/0/0",1,1
"26832","8",2,"forced",10,63,"learn",6,5,0,1,0.2,0.179,0,64,"R",1,0,0,0,0,1,1,"R",1,1,1,6,63,-0.021,"1","1","rep/sw/sw","4",6,0,"1/1/0",0,"1/1/0",1,1
"26833","8",2,"forced",10,64,"learn",8,8,1,1,1.1,1.024,0,72,"R",2,0,1,1,0,1,1,"R",2,1,1,8,64,-0.0760000000000001,"10","9","rep/sw/sw","4",6,1,"1/1/1",1,"1/1/1",1,1
"26834","8",2,"forced",10,65,"learn",8,8,1,1,0.5,0.455,0,73,"R",2,0,0,0,0,0,0,"R",2,1,1,8,65,-0.045,"3","4","rep/rep/rep","0",8,0,"1/1/1",1,"1/1/1",1,1
"26835","8",2,"forced",10,66,"learn",2,2,1,1,1.2,1.18,0,73,"L",1,1,1,1,1,1,1,"L",1,1,1,2,66,-0.02,"12","10","sw/sw/sw","6",8,2,"1/1/1",1,"1/1/1",1,1
"26836","8",2,"forced",10,67,"learn",2,2,1,0,0.5,0.377,0,74,"L",1,0,0,0,0,0,0,"L",1,1,1,2,67,-0.123,"2","4","rep/rep/rep","0",2,0,"1/1/1",1,"1/1/1",1,1
"26837","8",2,"forced",10,68,"learn",5,6,0,1,0.5,0.564,0,65,"R",1,1,0,1,1,0,1,"R",1,1,1,5,68,0.0639999999999999,"4","4","sw/rep/sw","6",2,2,"1/1/0",0,"1/1/0",1,1
"26838","8",2,"forced",10,69,"learn",8,5,0,1,0.3,0.202,0,74,"R",2,0,1,1,0,0,1,"R",1,1,0,8,69,-0.098,"1","2","rep/rep/sw","2",5,2,"1/0/0",0,"1/0/0",1,1
"26839","8",2,"forced",10,70,"learn",2,2,1,1,0.6,0.513,0,75,"L",1,1,1,1,1,0,1,"L",1,1,1,2,70,-0.087,"3","5","sw/rep/sw","6",8,2,"1/1/1",1,"1/1/1",1,1
"26840","8",2,"forced",10,71,"learn",1,1,1,0,0.9,0.77,0,66,"L",1,0,0,1,0,0,1,"L",1,1,1,1,71,-0.13,"7","7","rep/rep/sw","2",2,1,"1/1/1",1,"1/1/1",1,1
