"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"760","547188","HierDyvc8ryfj5","01","01","8","rl","70","img/b_s_stripes.png","70","test","4","109","1","","","color,shape,pattern",""
"null","548201","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","109","","","","",""
"576","548786","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_stripes.png","74","test","6","110","1","","","color,shape,pattern",""
"null","549799","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","110","","","","",""
"1165","550975","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_stripes.png","74","test","6","111","1","","","color,shape,pattern",""
"null","551988","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","111","","","","",""
"788","552785","HierDyvc8ryfj5","01","01","8","rl","65","img/b_c_dots.png","65","test","1","112","1","","","color,shape,pattern",""
"null","553796","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","112","","","","",""
"431","554239","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_stripes.png","83","test","2","113","1","","","color,shape,pattern",""
"null","555251","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","113","","","","",""
"773","556034","HierDyvc8ryfj5","01","01","8","rl","76","img/r_s_stripes.png","76","test","8","114","1","","","color,shape,pattern",""
"null","557047","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","114","","","","",""
"690","557746","HierDyvc8ryfj5","01","01","8","rl","75","img/b_s_dots.png","68","test","3","115","0","","","color,shape,pattern",""
"null","558756","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","115","","","","",""
"692","559458","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_stripes.png","83","test","2","116","1","","","color,shape,pattern",""
"null","560471","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","116","","","","",""
"2454","562936","HierDyvc8ryfj5","01","01","8","rl","65","img/b_c_dots.png","65","test","1","117","1","","","color,shape,pattern",""
"null","563948","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","117","","","","",""
"764","564721","HierDyvc8ryfj5","01","01","8","rl","72","img/r_c_dots.png","72","test","5","118","1","","","color,shape,pattern",""
"null","565735","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","118","","","","",""
