"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","day","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2","includeLearn","timing_chill"
"6111","sub27",3,"forced",6,39,"learn",8,8,1,1,0.9,0.893,0,8,15,"R",2,1,1,1,1,1,1,"R",2,1,1,8,39,-0.00700000000000001,"8","7","sw/sw/sw","6",2,2,"1/1/1",1,"1/1/1",1,1
"6112","sub27",3,"forced",6,40,"learn",5,5,1,1,0.4,0.451,0,8,22,"R",1,0,1,1,0,1,1,"R",1,1,1,5,40,0.051,"3","3","rep/sw/sw","4",8,2,"1/1/1",1,"1/1/1",1,1
"6113","sub27",3,"forced",6,41,"learn",2,2,1,1,1.2,1.106,0,8,16,"L",1,1,0,1,1,0,1,"L",1,1,1,2,41,-0.0939999999999999,"11","10","sw/rep/sw","6",5,2,"1/1/1",1,"1/1/1",1,1
"6114","sub27",3,"forced",6,42,"learn",7,8,0,0,0.3,0.558,0,8,15,"R",2,1,1,1,1,1,1,"R",2,1,1,7,42,0.258,"4","2","sw/sw/sw","6",2,1,"1/1/0",0,"1/1/0",1,NA
"6115","sub27",3,"forced",6,43,"learn",7,7,1,1,0.8,0.752,0,8,16,"R",2,0,0,0,0,0,1,"R",2,1,1,7,43,-0.048,"7","6","rep/rep/sw","2",7,0,"1/1/1",1,"1/1/1",1,1
"6116","sub27",3,"forced",6,44,"learn",5,5,1,0,0.1,0.66,0,8,23,"R",1,0,1,1,0,1,1,"R",1,1,1,5,44,0.56,"5","1","rep/sw/sw","4",7,1,"1/1/1",1,"1/1/1",1,NA
"6117","sub27",3,"forced",6,45,"learn",8,8,1,0,0.5,1.229,0,8,16,"R",2,0,1,1,0,1,1,"R",2,1,1,8,45,0.729,"12","4","rep/sw/sw","4",5,2,"1/1/1",1,"1/1/1",1,NA
"6118","sub27",3,"forced",6,46,"learn",7,7,1,1,0.5,0.462,0,8,17,"R",2,0,0,1,0,0,1,"R",2,1,1,7,46,-0.038,"3","4","rep/rep/sw","2",8,1,"1/1/1",1,"1/1/1",1,1
"6119","sub27",3,"forced",6,47,"learn",4,4,1,0,0.6,0.729,0,8,19,"L",2,1,0,1,1,0,1,"L",2,1,1,4,47,0.129,"6","5","sw/rep/sw","6",7,2,"1/1/1",1,"1/1/1",1,1
"6120","sub27",3,"forced",6,48,"learn",1,1,1,1,1,0.969,0,8,18,"L",1,0,1,1,0,1,1,"L",1,1,1,1,48,-0.031,"9","8","rep/sw/sw","4",4,2,"1/1/1",1,"1/1/1",1,1
"6121","sub27",3,"forced",6,49,"learn",6,6,1,1,1,0.974,0,8,17,"R",1,1,0,1,1,0,1,"R",1,1,1,6,49,-0.026,"9","8","sw/rep/sw","6",1,2,"1/1/1",1,"1/1/1",1,1
"6122","sub27",3,"forced",6,50,"learn",2,2,1,1,0.8,0.741,0,8,17,"L",1,1,0,1,1,0,1,"L",1,1,1,2,50,-0.0590000000000001,"6","6","sw/rep/sw","6",6,3,"1/1/1",1,"1/1/1",1,1
"6123","sub27",3,"forced",6,51,"learn",7,7,1,1,0.9,0.838,0,8,18,"R",2,1,1,1,1,1,1,"R",2,1,1,7,51,-0.0620000000000001,"8","7","sw/sw/sw","6",2,1,"1/1/1",1,"1/1/1",1,1
